Date,Year,Month,MonthName,MonthYear,Quarter,Day,Weekday,WeekdayName,IsWeekend
4/1/2024,2024,4,Tháng tư,202404,Q2,1,1,Thứ hai,FALSE
4/2/2024,2024,4,Tháng tư,202404,Q2,2,2,Thứ ba,FALSE
4/3/2024,2024,4,Tháng tư,202404,Q2,3,3,Thứ Tư,FALSE
4/4/2024,2024,4,Tháng tư,202404,Q2,4,4,Thứ năm,FALSE
4/5/2024,2024,4,Tháng tư,202404,Q2,5,5,Thứ sáu,FALSE
4/8/2024,2024,4,Tháng tư,202404,Q2,8,1,Thứ hai,FALSE
4/9/2024,2024,4,Tháng tư,202404,Q2,9,2,Thứ ba,FALSE
4/10/2024,2024,4,Tháng tư,202404,Q2,10,3,Thứ Tư,FALSE
4/11/2024,2024,4,Tháng tư,202404,Q2,11,4,Thứ năm,FALSE
4/12/2024,2024,4,Tháng tư,202404,Q2,12,5,Thứ sáu,FALSE
4/15/2024,2024,4,Tháng tư,202404,Q2,15,1,Thứ hai,FALSE
4/16/2024,2024,4,Tháng tư,202404,Q2,16,2,Thứ ba,FALSE
4/17/2024,2024,4,Tháng tư,202404,Q2,17,3,Thứ Tư,FALSE
4/18/2024,2024,4,Tháng tư,202404,Q2,18,4,Thứ năm,FALSE
4/19/2024,2024,4,Tháng tư,202404,Q2,19,5,Thứ sáu,FALSE
4/22/2024,2024,4,Tháng tư,202404,Q2,22,1,Thứ hai,FALSE
4/23/2024,2024,4,Tháng tư,202404,Q2,23,2,Thứ ba,FALSE
4/24/2024,2024,4,Tháng tư,202404,Q2,24,3,Thứ Tư,FALSE
4/25/2024,2024,4,Tháng tư,202404,Q2,25,4,Thứ năm,FALSE
4/26/2024,2024,4,Tháng tư,202404,Q2,26,5,Thứ sáu,FALSE
4/29/2024,2024,4,Tháng tư,202404,Q2,29,1,Thứ hai,FALSE
4/30/2024,2024,4,Tháng tư,202404,Q2,30,2,Thứ ba,FALSE
5/1/2024,2024,5,Tháng năm,202405,Q2,1,3,Thứ Tư,FALSE
5/2/2024,2024,5,Tháng năm,202405,Q2,2,4,Thứ năm,FALSE
5/3/2024,2024,5,Tháng năm,202405,Q2,3,5,Thứ sáu,FALSE
5/6/2024,2024,5,Tháng năm,202405,Q2,6,1,Thứ hai,FALSE
5/7/2024,2024,5,Tháng năm,202405,Q2,7,2,Thứ ba,FALSE
5/8/2024,2024,5,Tháng năm,202405,Q2,8,3,Thứ Tư,FALSE
5/9/2024,2024,5,Tháng năm,202405,Q2,9,4,Thứ năm,FALSE
5/10/2024,2024,5,Tháng năm,202405,Q2,10,5,Thứ sáu,FALSE
5/13/2024,2024,5,Tháng năm,202405,Q2,13,1,Thứ hai,FALSE
5/14/2024,2024,5,Tháng năm,202405,Q2,14,2,Thứ ba,FALSE
5/15/2024,2024,5,Tháng năm,202405,Q2,15,3,Thứ Tư,FALSE
5/16/2024,2024,5,Tháng năm,202405,Q2,16,4,Thứ năm,FALSE
5/17/2024,2024,5,Tháng năm,202405,Q2,17,5,Thứ sáu,FALSE
5/20/2024,2024,5,Tháng năm,202405,Q2,20,1,Thứ hai,FALSE
5/21/2024,2024,5,Tháng năm,202405,Q2,21,2,Thứ ba,FALSE
5/22/2024,2024,5,Tháng năm,202405,Q2,22,3,Thứ Tư,FALSE
5/23/2024,2024,5,Tháng năm,202405,Q2,23,4,Thứ năm,FALSE
5/24/2024,2024,5,Tháng năm,202405,Q2,24,5,Thứ sáu,FALSE
5/27/2024,2024,5,Tháng năm,202405,Q2,27,1,Thứ hai,FALSE
5/28/2024,2024,5,Tháng năm,202405,Q2,28,2,Thứ ba,FALSE
5/29/2024,2024,5,Tháng năm,202405,Q2,29,3,Thứ Tư,FALSE
5/30/2024,2024,5,Tháng năm,202405,Q2,30,4,Thứ năm,FALSE
5/31/2024,2024,5,Tháng năm,202405,Q2,31,5,Thứ sáu,FALSE
6/3/2024,2024,6,Tháng sáu,202406,Q2,3,1,Thứ hai,FALSE
6/4/2024,2024,6,Tháng sáu,202406,Q2,4,2,Thứ ba,FALSE
6/5/2024,2024,6,Tháng sáu,202406,Q2,5,3,Thứ Tư,FALSE
6/6/2024,2024,6,Tháng sáu,202406,Q2,6,4,Thứ năm,FALSE
6/7/2024,2024,6,Tháng sáu,202406,Q2,7,5,Thứ sáu,FALSE
6/10/2024,2024,6,Tháng sáu,202406,Q2,10,1,Thứ hai,FALSE
6/11/2024,2024,6,Tháng sáu,202406,Q2,11,2,Thứ ba,FALSE
6/12/2024,2024,6,Tháng sáu,202406,Q2,12,3,Thứ Tư,FALSE
6/13/2024,2024,6,Tháng sáu,202406,Q2,13,4,Thứ năm,FALSE
6/14/2024,2024,6,Tháng sáu,202406,Q2,14,5,Thứ sáu,FALSE
6/17/2024,2024,6,Tháng sáu,202406,Q2,17,1,Thứ hai,FALSE
6/18/2024,2024,6,Tháng sáu,202406,Q2,18,2,Thứ ba,FALSE
6/19/2024,2024,6,Tháng sáu,202406,Q2,19,3,Thứ Tư,FALSE
6/20/2024,2024,6,Tháng sáu,202406,Q2,20,4,Thứ năm,FALSE
6/21/2024,2024,6,Tháng sáu,202406,Q2,21,5,Thứ sáu,FALSE
6/24/2024,2024,6,Tháng sáu,202406,Q2,24,1,Thứ hai,FALSE
6/25/2024,2024,6,Tháng sáu,202406,Q2,25,2,Thứ ba,FALSE
6/26/2024,2024,6,Tháng sáu,202406,Q2,26,3,Thứ Tư,FALSE
6/27/2024,2024,6,Tháng sáu,202406,Q2,27,4,Thứ năm,FALSE
6/28/2024,2024,6,Tháng sáu,202406,Q2,28,5,Thứ sáu,FALSE
7/1/2024,2024,7,Tháng bảy,202407,Q3,1,1,Thứ hai,FALSE
7/2/2024,2024,7,Tháng bảy,202407,Q3,2,2,Thứ ba,FALSE
7/3/2024,2024,7,Tháng bảy,202407,Q3,3,3,Thứ Tư,FALSE
7/4/2024,2024,7,Tháng bảy,202407,Q3,4,4,Thứ năm,FALSE
7/5/2024,2024,7,Tháng bảy,202407,Q3,5,5,Thứ sáu,FALSE
7/8/2024,2024,7,Tháng bảy,202407,Q3,8,1,Thứ hai,FALSE
7/9/2024,2024,7,Tháng bảy,202407,Q3,9,2,Thứ ba,FALSE
7/10/2024,2024,7,Tháng bảy,202407,Q3,10,3,Thứ Tư,FALSE
7/11/2024,2024,7,Tháng bảy,202407,Q3,11,4,Thứ năm,FALSE
7/12/2024,2024,7,Tháng bảy,202407,Q3,12,5,Thứ sáu,FALSE
7/15/2024,2024,7,Tháng bảy,202407,Q3,15,1,Thứ hai,FALSE
7/16/2024,2024,7,Tháng bảy,202407,Q3,16,2,Thứ ba,FALSE
7/17/2024,2024,7,Tháng bảy,202407,Q3,17,3,Thứ Tư,FALSE
7/18/2024,2024,7,Tháng bảy,202407,Q3,18,4,Thứ năm,FALSE
7/19/2024,2024,7,Tháng bảy,202407,Q3,19,5,Thứ sáu,FALSE
7/22/2024,2024,7,Tháng bảy,202407,Q3,22,1,Thứ hai,FALSE
7/23/2024,2024,7,Tháng bảy,202407,Q3,23,2,Thứ ba,FALSE
7/24/2024,2024,7,Tháng bảy,202407,Q3,24,3,Thứ Tư,FALSE
7/25/2024,2024,7,Tháng bảy,202407,Q3,25,4,Thứ năm,FALSE
7/26/2024,2024,7,Tháng bảy,202407,Q3,26,5,Thứ sáu,FALSE
7/29/2024,2024,7,Tháng bảy,202407,Q3,29,1,Thứ hai,FALSE
7/30/2024,2024,7,Tháng bảy,202407,Q3,30,2,Thứ ba,FALSE
7/31/2024,2024,7,Tháng bảy,202407,Q3,31,3,Thứ Tư,FALSE
8/1/2024,2024,8,Tháng tám,202408,Q3,1,4,Thứ năm,FALSE
8/2/2024,2024,8,Tháng tám,202408,Q3,2,5,Thứ sáu,FALSE
8/5/2024,2024,8,Tháng tám,202408,Q3,5,1,Thứ hai,FALSE
8/6/2024,2024,8,Tháng tám,202408,Q3,6,2,Thứ ba,FALSE
8/7/2024,2024,8,Tháng tám,202408,Q3,7,3,Thứ Tư,FALSE
8/8/2024,2024,8,Tháng tám,202408,Q3,8,4,Thứ năm,FALSE
8/9/2024,2024,8,Tháng tám,202408,Q3,9,5,Thứ sáu,FALSE
8/12/2024,2024,8,Tháng tám,202408,Q3,12,1,Thứ hai,FALSE
8/13/2024,2024,8,Tháng tám,202408,Q3,13,2,Thứ ba,FALSE
8/14/2024,2024,8,Tháng tám,202408,Q3,14,3,Thứ Tư,FALSE
8/15/2024,2024,8,Tháng tám,202408,Q3,15,4,Thứ năm,FALSE
8/16/2024,2024,8,Tháng tám,202408,Q3,16,5,Thứ sáu,FALSE
8/19/2024,2024,8,Tháng tám,202408,Q3,19,1,Thứ hai,FALSE
8/20/2024,2024,8,Tháng tám,202408,Q3,20,2,Thứ ba,FALSE
8/21/2024,2024,8,Tháng tám,202408,Q3,21,3,Thứ Tư,FALSE
8/22/2024,2024,8,Tháng tám,202408,Q3,22,4,Thứ năm,FALSE
8/23/2024,2024,8,Tháng tám,202408,Q3,23,5,Thứ sáu,FALSE
8/26/2024,2024,8,Tháng tám,202408,Q3,26,1,Thứ hai,FALSE
8/27/2024,2024,8,Tháng tám,202408,Q3,27,2,Thứ ba,FALSE
8/28/2024,2024,8,Tháng tám,202408,Q3,28,3,Thứ Tư,FALSE
8/29/2024,2024,8,Tháng tám,202408,Q3,29,4,Thứ năm,FALSE
8/30/2024,2024,8,Tháng tám,202408,Q3,30,5,Thứ sáu,FALSE
9/2/2024,2024,9,Tháng chín,202409,Q3,2,1,Thứ hai,FALSE
9/3/2024,2024,9,Tháng chín,202409,Q3,3,2,Thứ ba,FALSE
9/4/2024,2024,9,Tháng chín,202409,Q3,4,3,Thứ Tư,FALSE
9/5/2024,2024,9,Tháng chín,202409,Q3,5,4,Thứ năm,FALSE
9/6/2024,2024,9,Tháng chín,202409,Q3,6,5,Thứ sáu,FALSE
9/9/2024,2024,9,Tháng chín,202409,Q3,9,1,Thứ hai,FALSE
9/10/2024,2024,9,Tháng chín,202409,Q3,10,2,Thứ ba,FALSE
9/11/2024,2024,9,Tháng chín,202409,Q3,11,3,Thứ Tư,FALSE
9/12/2024,2024,9,Tháng chín,202409,Q3,12,4,Thứ năm,FALSE
9/13/2024,2024,9,Tháng chín,202409,Q3,13,5,Thứ sáu,FALSE
9/16/2024,2024,9,Tháng chín,202409,Q3,16,1,Thứ hai,FALSE
9/17/2024,2024,9,Tháng chín,202409,Q3,17,2,Thứ ba,FALSE
9/18/2024,2024,9,Tháng chín,202409,Q3,18,3,Thứ Tư,FALSE
9/19/2024,2024,9,Tháng chín,202409,Q3,19,4,Thứ năm,FALSE
9/20/2024,2024,9,Tháng chín,202409,Q3,20,5,Thứ sáu,FALSE
9/23/2024,2024,9,Tháng chín,202409,Q3,23,1,Thứ hai,FALSE
9/24/2024,2024,9,Tháng chín,202409,Q3,24,2,Thứ ba,FALSE
9/25/2024,2024,9,Tháng chín,202409,Q3,25,3,Thứ Tư,FALSE
9/26/2024,2024,9,Tháng chín,202409,Q3,26,4,Thứ năm,FALSE
9/27/2024,2024,9,Tháng chín,202409,Q3,27,5,Thứ sáu,FALSE
9/30/2024,2024,9,Tháng chín,202409,Q3,30,1,Thứ hai,FALSE
10/1/2024,2024,10,Tháng Mười,202410,Q4,1,2,Thứ ba,FALSE
10/2/2024,2024,10,Tháng Mười,202410,Q4,2,3,Thứ Tư,FALSE
10/3/2024,2024,10,Tháng Mười,202410,Q4,3,4,Thứ năm,FALSE
10/4/2024,2024,10,Tháng Mười,202410,Q4,4,5,Thứ sáu,FALSE
10/7/2024,2024,10,Tháng Mười,202410,Q4,7,1,Thứ hai,FALSE
10/8/2024,2024,10,Tháng Mười,202410,Q4,8,2,Thứ ba,FALSE
10/9/2024,2024,10,Tháng Mười,202410,Q4,9,3,Thứ Tư,FALSE
10/10/2024,2024,10,Tháng Mười,202410,Q4,10,4,Thứ năm,FALSE
10/11/2024,2024,10,Tháng Mười,202410,Q4,11,5,Thứ sáu,FALSE
10/14/2024,2024,10,Tháng Mười,202410,Q4,14,1,Thứ hai,FALSE
10/15/2024,2024,10,Tháng Mười,202410,Q4,15,2,Thứ ba,FALSE
10/16/2024,2024,10,Tháng Mười,202410,Q4,16,3,Thứ Tư,FALSE
10/17/2024,2024,10,Tháng Mười,202410,Q4,17,4,Thứ năm,FALSE
10/18/2024,2024,10,Tháng Mười,202410,Q4,18,5,Thứ sáu,FALSE
10/21/2024,2024,10,Tháng Mười,202410,Q4,21,1,Thứ hai,FALSE
10/22/2024,2024,10,Tháng Mười,202410,Q4,22,2,Thứ ba,FALSE
10/23/2024,2024,10,Tháng Mười,202410,Q4,23,3,Thứ Tư,FALSE
10/24/2024,2024,10,Tháng Mười,202410,Q4,24,4,Thứ năm,FALSE
10/25/2024,2024,10,Tháng Mười,202410,Q4,25,5,Thứ sáu,FALSE
10/28/2024,2024,10,Tháng Mười,202410,Q4,28,1,Thứ hai,FALSE
10/29/2024,2024,10,Tháng Mười,202410,Q4,29,2,Thứ ba,FALSE
10/30/2024,2024,10,Tháng Mười,202410,Q4,30,3,Thứ Tư,FALSE
10/31/2024,2024,10,Tháng Mười,202410,Q4,31,4,Thứ năm,FALSE
11/1/2024,2024,11,Tháng mười một,202411,Q4,1,5,Thứ sáu,FALSE
11/4/2024,2024,11,Tháng mười một,202411,Q4,4,1,Thứ hai,FALSE
11/5/2024,2024,11,Tháng mười một,202411,Q4,5,2,Thứ ba,FALSE
11/6/2024,2024,11,Tháng mười một,202411,Q4,6,3,Thứ Tư,FALSE
11/7/2024,2024,11,Tháng mười một,202411,Q4,7,4,Thứ năm,FALSE
11/8/2024,2024,11,Tháng mười một,202411,Q4,8,5,Thứ sáu,FALSE
11/11/2024,2024,11,Tháng mười một,202411,Q4,11,1,Thứ hai,FALSE
11/12/2024,2024,11,Tháng mười một,202411,Q4,12,2,Thứ ba,FALSE
11/13/2024,2024,11,Tháng mười một,202411,Q4,13,3,Thứ Tư,FALSE
11/14/2024,2024,11,Tháng mười một,202411,Q4,14,4,Thứ năm,FALSE
11/15/2024,2024,11,Tháng mười một,202411,Q4,15,5,Thứ sáu,FALSE
11/18/2024,2024,11,Tháng mười một,202411,Q4,18,1,Thứ hai,FALSE
11/19/2024,2024,11,Tháng mười một,202411,Q4,19,2,Thứ ba,FALSE
11/20/2024,2024,11,Tháng mười một,202411,Q4,20,3,Thứ Tư,FALSE
11/21/2024,2024,11,Tháng mười một,202411,Q4,21,4,Thứ năm,FALSE
11/22/2024,2024,11,Tháng mười một,202411,Q4,22,5,Thứ sáu,FALSE
11/25/2024,2024,11,Tháng mười một,202411,Q4,25,1,Thứ hai,FALSE
11/26/2024,2024,11,Tháng mười một,202411,Q4,26,2,Thứ ba,FALSE
11/27/2024,2024,11,Tháng mười một,202411,Q4,27,3,Thứ Tư,FALSE
11/28/2024,2024,11,Tháng mười một,202411,Q4,28,4,Thứ năm,FALSE
11/29/2024,2024,11,Tháng mười một,202411,Q4,29,5,Thứ sáu,FALSE
12/2/2024,2024,12,Tháng mười hai,202412,Q4,2,1,Thứ hai,FALSE
12/3/2024,2024,12,Tháng mười hai,202412,Q4,3,2,Thứ ba,FALSE
12/4/2024,2024,12,Tháng mười hai,202412,Q4,4,3,Thứ Tư,FALSE
12/5/2024,2024,12,Tháng mười hai,202412,Q4,5,4,Thứ năm,FALSE
12/6/2024,2024,12,Tháng mười hai,202412,Q4,6,5,Thứ sáu,FALSE
12/9/2024,2024,12,Tháng mười hai,202412,Q4,9,1,Thứ hai,FALSE
12/10/2024,2024,12,Tháng mười hai,202412,Q4,10,2,Thứ ba,FALSE
12/11/2024,2024,12,Tháng mười hai,202412,Q4,11,3,Thứ Tư,FALSE
12/12/2024,2024,12,Tháng mười hai,202412,Q4,12,4,Thứ năm,FALSE
12/13/2024,2024,12,Tháng mười hai,202412,Q4,13,5,Thứ sáu,FALSE
12/16/2024,2024,12,Tháng mười hai,202412,Q4,16,1,Thứ hai,FALSE
12/17/2024,2024,12,Tháng mười hai,202412,Q4,17,2,Thứ ba,FALSE
12/18/2024,2024,12,Tháng mười hai,202412,Q4,18,3,Thứ Tư,FALSE
12/19/2024,2024,12,Tháng mười hai,202412,Q4,19,4,Thứ năm,FALSE
12/20/2024,2024,12,Tháng mười hai,202412,Q4,20,5,Thứ sáu,FALSE
12/23/2024,2024,12,Tháng mười hai,202412,Q4,23,1,Thứ hai,FALSE
12/24/2024,2024,12,Tháng mười hai,202412,Q4,24,2,Thứ ba,FALSE
12/25/2024,2024,12,Tháng mười hai,202412,Q4,25,3,Thứ Tư,FALSE
12/26/2024,2024,12,Tháng mười hai,202412,Q4,26,4,Thứ năm,FALSE
12/27/2024,2024,12,Tháng mười hai,202412,Q4,27,5,Thứ sáu,FALSE
12/30/2024,2024,12,Tháng mười hai,202412,Q4,30,1,Thứ hai,FALSE
12/31/2024,2024,12,Tháng mười hai,202412,Q4,31,2,Thứ ba,FALSE
1/6/2024,2024,1,Tháng Một,202401,Q1,6,6,Thứ bảy,TRUE
1/7/2024,2024,1,Tháng Một,202401,Q1,7,7,Chủ nhật,TRUE
1/13/2024,2024,1,Tháng Một,202401,Q1,13,6,Thứ bảy,TRUE
1/14/2024,2024,1,Tháng Một,202401,Q1,14,7,Chủ nhật,TRUE
1/20/2024,2024,1,Tháng Một,202401,Q1,20,6,Thứ bảy,TRUE
1/21/2024,2024,1,Tháng Một,202401,Q1,21,7,Chủ nhật,TRUE
1/27/2024,2024,1,Tháng Một,202401,Q1,27,6,Thứ bảy,TRUE
1/28/2024,2024,1,Tháng Một,202401,Q1,28,7,Chủ nhật,TRUE
2/3/2024,2024,2,Tháng hai,202402,Q1,3,6,Thứ bảy,TRUE
2/4/2024,2024,2,Tháng hai,202402,Q1,4,7,Chủ nhật,TRUE
2/10/2024,2024,2,Tháng hai,202402,Q1,10,6,Thứ bảy,TRUE
2/11/2024,2024,2,Tháng hai,202402,Q1,11,7,Chủ nhật,TRUE
2/17/2024,2024,2,Tháng hai,202402,Q1,17,6,Thứ bảy,TRUE
2/18/2024,2024,2,Tháng hai,202402,Q1,18,7,Chủ nhật,TRUE
2/24/2024,2024,2,Tháng hai,202402,Q1,24,6,Thứ bảy,TRUE
2/25/2024,2024,2,Tháng hai,202402,Q1,25,7,Chủ nhật,TRUE
3/2/2024,2024,3,Tháng ba,202403,Q1,2,6,Thứ bảy,TRUE
3/3/2024,2024,3,Tháng ba,202403,Q1,3,7,Chủ nhật,TRUE
3/9/2024,2024,3,Tháng ba,202403,Q1,9,6,Thứ bảy,TRUE
3/10/2024,2024,3,Tháng ba,202403,Q1,10,7,Chủ nhật,TRUE
3/16/2024,2024,3,Tháng ba,202403,Q1,16,6,Thứ bảy,TRUE
3/17/2024,2024,3,Tháng ba,202403,Q1,17,7,Chủ nhật,TRUE
3/23/2024,2024,3,Tháng ba,202403,Q1,23,6,Thứ bảy,TRUE
3/24/2024,2024,3,Tháng ba,202403,Q1,24,7,Chủ nhật,TRUE
3/30/2024,2024,3,Tháng ba,202403,Q1,30,6,Thứ bảy,TRUE
3/31/2024,2024,3,Tháng ba,202403,Q1,31,7,Chủ nhật,TRUE
4/6/2024,2024,4,Tháng tư,202404,Q2,6,6,Thứ bảy,TRUE
4/7/2024,2024,4,Tháng tư,202404,Q2,7,7,Chủ nhật,TRUE
4/13/2024,2024,4,Tháng tư,202404,Q2,13,6,Thứ bảy,TRUE
4/14/2024,2024,4,Tháng tư,202404,Q2,14,7,Chủ nhật,TRUE
4/20/2024,2024,4,Tháng tư,202404,Q2,20,6,Thứ bảy,TRUE
4/21/2024,2024,4,Tháng tư,202404,Q2,21,7,Chủ nhật,TRUE
4/27/2024,2024,4,Tháng tư,202404,Q2,27,6,Thứ bảy,TRUE
4/28/2024,2024,4,Tháng tư,202404,Q2,28,7,Chủ nhật,TRUE
5/4/2024,2024,5,Tháng năm,202405,Q2,4,6,Thứ bảy,TRUE
5/5/2024,2024,5,Tháng năm,202405,Q2,5,7,Chủ nhật,TRUE
5/11/2024,2024,5,Tháng năm,202405,Q2,11,6,Thứ bảy,TRUE
5/12/2024,2024,5,Tháng năm,202405,Q2,12,7,Chủ nhật,TRUE
5/18/2024,2024,5,Tháng năm,202405,Q2,18,6,Thứ bảy,TRUE
5/19/2024,2024,5,Tháng năm,202405,Q2,19,7,Chủ nhật,TRUE
5/25/2024,2024,5,Tháng năm,202405,Q2,25,6,Thứ bảy,TRUE
5/26/2024,2024,5,Tháng năm,202405,Q2,26,7,Chủ nhật,TRUE
6/1/2024,2024,6,Tháng sáu,202406,Q2,1,6,Thứ bảy,TRUE
6/2/2024,2024,6,Tháng sáu,202406,Q2,2,7,Chủ nhật,TRUE
6/8/2024,2024,6,Tháng sáu,202406,Q2,8,6,Thứ bảy,TRUE
6/9/2024,2024,6,Tháng sáu,202406,Q2,9,7,Chủ nhật,TRUE
6/15/2024,2024,6,Tháng sáu,202406,Q2,15,6,Thứ bảy,TRUE
6/16/2024,2024,6,Tháng sáu,202406,Q2,16,7,Chủ nhật,TRUE
6/22/2024,2024,6,Tháng sáu,202406,Q2,22,6,Thứ bảy,TRUE
6/23/2024,2024,6,Tháng sáu,202406,Q2,23,7,Chủ nhật,TRUE
6/29/2024,2024,6,Tháng sáu,202406,Q2,29,6,Thứ bảy,TRUE
6/30/2024,2024,6,Tháng sáu,202406,Q2,30,7,Chủ nhật,TRUE
7/6/2024,2024,7,Tháng bảy,202407,Q3,6,6,Thứ bảy,TRUE
7/7/2024,2024,7,Tháng bảy,202407,Q3,7,7,Chủ nhật,TRUE
7/13/2024,2024,7,Tháng bảy,202407,Q3,13,6,Thứ bảy,TRUE
7/14/2024,2024,7,Tháng bảy,202407,Q3,14,7,Chủ nhật,TRUE
7/20/2024,2024,7,Tháng bảy,202407,Q3,20,6,Thứ bảy,TRUE
7/21/2024,2024,7,Tháng bảy,202407,Q3,21,7,Chủ nhật,TRUE
7/27/2024,2024,7,Tháng bảy,202407,Q3,27,6,Thứ bảy,TRUE
7/28/2024,2024,7,Tháng bảy,202407,Q3,28,7,Chủ nhật,TRUE
8/3/2024,2024,8,Tháng tám,202408,Q3,3,6,Thứ bảy,TRUE
